Object ID,speckle_type,Type,Пользовательский.Width,Пользовательский.NetArea,Пользовательский.Height,Пользовательский.Depth
61191b6a91535e2fa14f4a8fa7dfbbef,IFCFURNISHINGELEMENT,M_Counter Top-Island: 1220mm Depth,,"2,449512468",900,"626,0631705"
62a55f73fc70ea3af4db8441f641bc7c,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
641756a2d81b8d01c0b8b89ef0ee77c2,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door Sink Unit: 1200mm,1200,"5,099444562",860,600
69001048de99099b461bbbc9d096fb18,IFCFURNISHINGELEMENT,M_Counter Top: 600mm Depth,,"0,48689548",900,625
6b091d7b28bb39d1f2d2dc3bcb8d21db,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
6e1bc38786999049ca1fcb9f64e40297,IFCFURNISHINGELEMENT,M_Cabinet-File 2 Drawer: 0380 x 0457mm,380,"1,010536263",734,457
716493f5cd4599f3969236a1153a3296,IFCFURNISHINGELEMENT,M_Chair-Breuer: M_Chair-Breuer,,"0,490261541",,
71981195eb5d9bb2e62c70b2794d3d7e,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
71fea972e46ff8d1e753b42a35ee24f8,IFCFURNISHINGELEMENT,M_Bed-Standard: 0965 x 1905mm - Twin,965,"5,213474977",,
742cd0eda4df8edeb5868ff7d39bdd04,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
77003bcc41f1719f83c919144fd97bcc,IFCFURNISHINGELEMENT,M_Chair-Breuer: M_Chair-Breuer,,"0,490261541",,
7b5a00e6ac6b50c4d331dc1b764e2b64,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
830b0fc9155da4571bb93e4f87b27c48,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
83ad8357c7521c6d8e19ffa99c43cc3d,IFCFURNISHINGELEMENT,M_Dresser: 1220 x 1830 x 0610mm,1220,"6,499025025",1830,610
8581e35c5532f901a81ec0d1350279a9,IFCFURNISHINGELEMENT,M_Bed-Standard: 0965 x 1905mm - Twin,965,"5,213474977",,
8f945521677632b7c1c5db3a7ef5b5fa,IFCFURNISHINGELEMENT,M_TV Stand: M_TV Stand,1100,"1,716229027",500,460
